,Purchase,Target,WeekofPurchase,PurchaseWeek,StoreID,PriceCH,PriceMM,DiscCH,DiscMM,SpecialCH,SpecialMM,LoyalCH,SalePriceMM,SalePriceCH,PriceDiff,PriceDiff_Pos_Neg_None,Store7,PctDiscMM,PctDiscCH,ListPriceDiff,STORE
692,MM,1,230,w-230,3,1.79,1.79,0,0,0,0,0.027488,1.79,1.79,0,11,No,0,0,0,3
734,MM,1,230,w-230,1,1.69,1.69,0,0.2,0,0,0.3072,1.49,1.69,-0.2,10,No,0.118343,0,0,1
784,MM,1,230,w-230,3,1.79,1.79,0,0,0,0,0.131072,1.79,1.79,0,11,No,0,0,0,3
965,MM,1,230,w-230,1,1.69,1.69,0,0.2,0,0,0.544,1.49,1.69,-0.2,10,No,0.118343,0,0,1
1010,CH,0,230,w-230,7,1.69,1.99,0,0,0,1,0.5648,1.99,1.69,0.3,13,Yes,0,0,0.3,0
1051,CH,0,230,w-230,7,1.69,1.99,0,0,0,1,0.5952,1.99,1.69,0.3,13,Yes,0,0,0.3,0
155,CH,0,231,w-231,3,1.79,1.79,0,0,0,0,0.895142,1.79,1.79,0,11,No,0,0,0,3
173,CH,0,231,w-231,4,1.79,1.79,0,0,0,0,0.972512,1.79,1.79,0,11,No,0,0,0,4
204,CH,0,231,w-231,7,1.69,1.99,0,0,0,0,0.6352,1.99,1.69,0.3,13,Yes,0,0,0.3,0
299,MM,1,231,w-231,2,1.69,1.69,0.3,0,1,0,0.4672,1.69,1.39,0.3,13,No,0,0.177515,0,2
326,CH,0,231,w-231,1,1.69,1.69,0.3,0.2,1,0,0.32,1.49,1.39,0.1,13,No,0.118343,0.177515,0,1
519,CH,0,231,w-231,2,1.69,1.69,0.3,0,1,0,0.5,1.69,1.39,0.3,13,No,0,0.177515,0,2
545,MM,1,231,w-231,2,1.69,1.69,0.3,0,1,0,0.212992,1.69,1.39,0.3,13,No,0,0.177515,0,2
588,CH,0,231,w-231,1,1.69,1.69,0.3,0.2,1,0,0.5,1.49,1.39,0.1,13,No,0.118343,0.177515,0,1
693,MM,1,231,w-231,3,1.79,1.79,0,0,0,0,0.02199,1.79,1.79,0,11,No,0,0,0,3
824,CH,0,231,w-231,4,1.79,1.79,0,0,0,0,0.833801,1.79,1.79,0,11,No,0,0,0,4
836,MM,1,231,w-231,4,1.79,1.79,0,0,0,0,0.6,1.79,1.79,0,11,No,0,0,0,4
865,MM,1,231,w-231,7,1.69,1.99,0,0,0,0,0.481092,1.99,1.69,0.3,13,Yes,0,0,0.3,0
906,MM,1,231,w-231,7,1.69,1.99,0,0,0,0,0.256,1.99,1.69,0.3,13,Yes,0,0,0.3,0
926,MM,1,231,w-231,3,1.79,1.79,0,0,0,0,0.4,1.79,1.79,0,11,No,0,0,0,3
927,MM,1,231,w-231,3,1.79,1.79,0,0,0,0,0.32,1.79,1.79,0,11,No,0,0,0,3
928,MM,1,231,w-231,3,1.79,1.79,0,0,0,0,0.256,1.79,1.79,0,11,No,0,0,0,3
937,MM,1,231,w-231,2,1.69,1.69,0.3,0,1,0,0.135607,1.69,1.39,0.3,13,No,0,0.177515,0,2
998,MM,1,231,w-231,7,1.69,1.99,0,0,0,0,0.68,1.99,1.69,0.3,13,Yes,0,0,0.3,0
1011,CH,0,231,w-231,7,1.69,1.99,0,0,0,0,0.65184,1.99,1.69,0.3,13,Yes,0,0,0.3,0
1052,CH,0,231,w-231,7,1.69,1.99,0,0,0,0,0.67616,1.99,1.69,0.3,13,Yes,0,0,0.3,0
7,CH,0,232,w-232,7,1.69,1.99,0,0.4,1,1,0.972182,1.59,1.69,-0.1,10,Yes,0.201005,0,0.3,0
34,MM,1,232,w-232,2,1.69,1.69,0,0,1,0,0.68,1.69,1.69,0,11,No,0,0,0,2
257,CH,0,232,w-232,7,1.69,1.99,0,0.4,1,1,0.331072,1.59,1.69,-0.1,10,Yes,0.201005,0,0.3,0
423,CH,0,232,w-232,2,1.69,1.69,0,0,1,0,0.4352,1.69,1.69,0,11,No,0,0,0,2
496,MM,1,232,w-232,2,1.69,1.69,0,0,1,0,0.5,1.69,1.69,0,11,No,0,0,0,2
502,CH,0,232,w-232,3,1.79,2.09,0,0,0,0,0.52,2.09,1.79,0.3,13,No,0,0,0.3,3
546,MM,1,232,w-232,2,1.69,1.69,0,0,1,0,0.170394,1.69,1.69,0,11,No,0,0,0,2
694,MM,1,232,w-232,3,1.79,2.09,0,0,0,0,0.017592,2.09,1.79,0.3,13,No,0,0,0.3,3
752,CH,0,232,w-232,4,1.79,2.09,0,0,0,0,0.4,2.09,1.79,0.3,13,No,0,0,0.3,4
753,MM,1,232,w-232,1,1.69,1.99,0,0,1,0,0.52,1.99,1.69,0.3,13,No,0,0,0.3,1
776,CH,0,232,w-232,7,1.69,1.99,0,0.4,1,1,0.6,1.59,1.69,-0.1,10,Yes,0.201005,0,0.3,0
781,CH,0,232,w-232,1,1.69,1.99,0,0,1,0,0.586313,1.99,1.69,0.3,13,No,0,0,0.3,1
785,MM,1,232,w-232,3,1.79,2.09,0,0,0,0,0.104858,2.09,1.79,0.3,13,No,0,0,0.3,3
825,CH,0,232,w-232,4,1.79,2.09,0,0,0,0,0.867041,2.09,1.79,0.3,13,No,0,0,0.3,4
851,CH,0,232,w-232,1,1.69,1.99,0,0,1,0,0.7952,1.99,1.69,0.3,13,No,0,0,0.3,1
852,CH,0,232,w-232,1,1.69,1.99,0,0,1,0,0.83616,1.99,1.69,0.3,13,No,0,0,0.3,1
962,MM,1,232,w-232,1,1.69,1.99,0,0,1,0,0.48,1.99,1.69,0.3,13,No,0,0,0.3,1
1012,CH,0,232,w-232,7,1.69,1.99,0,0.4,1,1,0.721472,1.59,1.69,-0.1,10,Yes,0.201005,0,0.3,0
1058,CH,0,232,w-232,1,1.69,1.99,0,0,1,0,0.4048,1.99,1.69,0.3,13,No,0,0,0.3,1
43,CH,0,233,w-233,4,1.79,2.09,0,0,0,0,0.959532,2.09,1.79,0.3,13,No,0,0,0.3,4
146,MM,1,233,w-233,7,1.75,1.99,0,0.4,1,0,0.5,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
156,CH,0,233,w-233,1,1.69,1.99,0,0,0,0,0.916114,1.99,1.69,0.3,13,No,0,0,0.3,1
174,CH,0,233,w-233,4,1.79,2.09,0,0,0,0,0.97801,2.09,1.79,0.3,13,No,0,0,0.3,4
205,CH,0,233,w-233,7,1.75,1.99,0,0.4,1,0,0.70816,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
233,CH,0,233,w-233,7,1.75,1.99,0,0.4,1,0,0.628114,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
300,MM,1,233,w-233,2,1.69,1.69,0,0,0,0,0.37376,1.69,1.69,0,11,No,0,0,0,2
340,CH,0,233,w-233,7,1.75,1.99,0,0.4,1,0,0.744,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
366,MM,1,233,w-233,7,1.75,1.99,0,0.4,1,0,0.4,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
389,MM,1,233,w-233,2,1.69,1.69,0,0,0,0,0.105838,1.69,1.69,0,11,No,0,0,0,2
447,CH,0,233,w-233,7,1.75,1.99,0,0.4,1,0,0.524608,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
559,CH,0,233,w-233,7,1.75,1.99,0,0.4,1,0,0.5,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
567,MM,1,233,w-233,7,1.75,1.99,0,0.4,1,0,0.4,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
612,CH,0,233,w-233,7,1.75,1.99,0,0.4,1,0,0.2048,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
641,CH,0,233,w-233,3,1.79,2.09,0,0,0,0,0.5072,2.09,1.79,0.3,13,No,0,0,0.3,3
695,MM,1,233,w-233,3,1.79,2.09,0,0,0,0,0.014074,2.09,1.79,0.3,13,No,0,0,0.3,3
746,CH,0,233,w-233,7,1.75,1.99,0,0.4,1,0,0.5,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
786,MM,1,233,w-233,3,1.79,2.09,0,0,0,0,0.083886,2.09,1.79,0.3,13,No,0,0,0.3,3
866,CH,0,233,w-233,7,1.75,1.99,0,0.4,1,0,0.384874,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
885,CH,0,233,w-233,7,1.75,1.99,0,0.4,1,0,0.6,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
907,MM,1,233,w-233,7,1.75,1.99,0,0.4,1,0,0.2048,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
938,MM,1,233,w-233,2,1.69,1.69,0,0,0,0,0.108486,1.69,1.69,0,11,No,0,0,0,2
966,CH,0,233,w-233,1,1.69,1.99,0,0,0,0,0.4352,1.99,1.69,0.3,13,No,0,0,0.3,1
981,CH,0,233,w-233,7,1.75,1.99,0,0.4,1,0,0.4,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
1013,CH,0,233,w-233,7,1.75,1.99,0,0.4,1,0,0.777178,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
1014,CH,0,233,w-233,7,1.75,1.99,0,0.4,1,0,0.821742,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
1038,MM,1,233,w-233,1,1.69,1.99,0,0,0,0,0.5,1.99,1.69,0.3,13,No,0,0,0.3,1
1059,CH,0,233,w-233,7,1.75,1.99,0,0.4,1,0,0.52384,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
8,CH,0,234,w-234,7,1.75,1.99,0,0.4,1,0,0.977746,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
100,CH,0,234,w-234,2,1.69,1.99,0,0,0,0,0.83616,1.99,1.69,0.3,13,No,0,0,0.3,2
223,CH,0,234,w-234,1,1.69,1.99,0,0,0,0,0.256,1.99,1.69,0.3,13,No,0,0,0.3,1
234,MM,1,234,w-234,7,1.75,1.99,0,0.4,1,0,0.702491,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
275,MM,1,234,w-234,3,1.79,2.09,0,0,0,0,0.02199,2.09,1.79,0.3,13,No,0,0,0.3,3
301,CH,0,234,w-234,3,1.79,2.09,0,0,0,0,0.299008,2.09,1.79,0.3,13,No,0,0,0.3,3
413,MM,1,234,w-234,7,1.75,1.99,0,0.4,1,0,0.227109,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
433,CH,0,234,w-234,7,1.75,1.99,0,0.4,1,0,0.5,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
547,MM,1,234,w-234,2,1.69,1.99,0,0,0,0,0.136315,1.99,1.69,0.3,13,No,0,0,0.3,2
589,MM,1,234,w-234,7,1.75,1.99,0,0.4,1,0,0.6,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
696,MM,1,234,w-234,3,1.79,2.09,0,0,0,0,0.011259,2.09,1.79,0.3,13,No,0,0,0.3,3
748,MM,1,234,w-234,3,1.79,2.09,0,0,0,0,0.256,2.09,1.79,0.3,13,No,0,0,0.3,3
787,MM,1,234,w-234,3,1.79,2.09,0,0,0,0,0.067109,2.09,1.79,0.3,13,No,0,0,0.3,3
849,MM,1,234,w-234,7,1.75,1.99,0,0.4,1,0,0.5,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
853,CH,0,234,w-234,1,1.69,1.99,0,0,0,0,0.868928,1.99,1.69,0.3,13,No,0,0,0.3,1
862,MM,1,234,w-234,7,1.75,1.99,0,0.4,1,0,0.5,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
929,MM,1,234,w-234,3,1.79,2.09,0,0,0,0,0.2048,2.09,1.79,0.3,13,No,0,0,0.3,3
1015,CH,0,234,w-234,1,1.69,1.99,0,0,0,0,0.857394,1.99,1.69,0.3,13,No,0,0,0.3,1
9,CH,0,235,w-235,7,1.75,1.99,0,0.4,0,0,0.982197,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
235,CH,0,235,w-235,7,1.75,1.99,0,0.4,0,0,0.561993,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
269,MM,1,235,w-235,3,1.79,2.09,0,0,0,0,0.45184,2.09,1.79,0.3,13,No,0,0,0.3,3
390,CH,0,235,w-235,7,1.75,1.99,0,0.4,0,0,0.084671,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
414,MM,1,235,w-235,3,1.79,2.09,0,0,0,0,0.181687,2.09,1.79,0.3,13,No,0,0,0.3,3
424,CH,0,235,w-235,2,1.69,1.99,0,0,0,0,0.54816,1.99,1.69,0.3,13,No,0,0,0.3,2
485,CH,0,235,w-235,3,1.79,2.09,0,0,0,0,0.5,2.09,1.79,0.3,13,No,0,0,0.3,3
503,CH,0,235,w-235,3,1.79,2.09,0,0,0,0,0.616,2.09,1.79,0.3,13,No,0,0,0.3,3
548,MM,1,235,w-235,2,1.69,1.99,0,0,0,0,0.109052,1.99,1.69,0.3,13,No,0,0,0.3,2
680,MM,1,235,w-235,7,1.75,1.99,0,0.4,0,0,0.4,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
697,MM,1,235,w-235,3,1.79,2.09,0,0,0,0,0.009007,2.09,1.79,0.3,13,No,0,0,0.3,3
772,MM,1,235,w-235,2,1.69,1.99,0,0,0,0,0.32,1.99,1.69,0.3,13,No,0,0,0.3,2
1004,MM,1,235,w-235,3,1.79,2.09,0,0,0,0,0.131072,2.09,1.79,0.3,13,No,0,0,0.3,3
1016,CH,0,235,w-235,7,1.75,1.99,0,0.4,0,0,0.885915,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
1039,MM,1,235,w-235,1,1.69,1.99,0,0,0,0,0.4,1.99,1.69,0.3,13,No,0,0,0.3,1
1060,CH,0,235,w-235,1,1.69,1.99,0,0,0,0,0.619072,1.99,1.69,0.3,13,No,0,0,0.3,1
44,CH,0,236,w-236,4,1.79,2.09,0,0,0,0,0.967626,2.09,1.79,0.3,13,No,0,0,0.3,4
101,CH,0,236,w-236,2,1.75,1.99,0,0,0,0,0.868928,1.99,1.75,0.24,13,No,0,0,0.24,2
147,MM,1,236,w-236,7,1.75,1.99,0,0.4,0,0,0.4,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
236,CH,0,236,w-236,3,1.79,2.09,0,0,0,0,0.649594,2.09,1.79,0.3,13,No,0,0,0.3,3
334,MM,1,236,w-236,7,1.75,1.99,0,0.4,0,0,0.119538,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
379,MM,1,236,w-236,2,1.75,1.99,0,0,0,0,0.16384,1.99,1.75,0.24,13,No,0,0,0.24,2
391,MM,1,236,w-236,2,1.75,1.99,0,0,0,0,0.267737,1.99,1.75,0.24,13,No,0,0,0.24,2
408,MM,1,236,w-236,1,1.75,1.99,0,0,0,0,0.346778,1.99,1.75,0.24,13,No,0,0,0.24,1
486,CH,0,236,w-236,3,1.79,2.09,0,0,0,0,0.6,2.09,1.79,0.3,13,No,0,0,0.3,3
530,CH,0,236,w-236,7,1.75,1.99,0,0.4,0,0,0.6,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
531,MM,1,236,w-236,2,1.75,1.99,0,0,0,0,0.68,1.99,1.75,0.24,13,No,0,0,0.24,2
549,MM,1,236,w-236,2,1.75,1.99,0,0,0,0,0.087242,1.99,1.75,0.24,13,No,0,0,0.24,2
550,MM,1,236,w-236,7,1.75,1.99,0,0.4,0,0,0.069793,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
571,MM,1,236,w-236,3,1.79,2.09,0,0,0,0,0.077677,2.09,1.79,0.3,13,No,0,0,0.3,3
642,MM,1,236,w-236,2,1.75,1.99,0,0,0,0,0.60576,1.99,1.75,0.24,13,No,0,0,0.24,2
698,MM,1,236,w-236,3,1.79,2.09,0,0,0,0,0.007206,2.09,1.79,0.3,13,No,0,0,0.3,3
867,CH,0,236,w-236,7,1.75,1.99,0,0.4,0,0,0.507899,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
884,MM,1,236,w-236,7,1.75,1.99,0,0.4,0,0,0.4,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
913,CH,0,236,w-236,2,1.75,1.99,0,0,0,0,0.5,1.99,1.75,0.24,13,No,0,0,0.24,2
930,MM,1,236,w-236,3,1.79,2.09,0,0,0,0,0.16384,2.09,1.79,0.3,13,No,0,0,0.3,3
967,MM,1,236,w-236,1,1.75,1.99,0,0,0,0,0.54816,1.99,1.75,0.24,13,No,0,0,0.24,1
1017,CH,0,236,w-236,7,1.75,1.99,0,0.4,0,0,0.908732,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
1061,MM,1,236,w-236,1,1.75,1.99,0,0,0,0,0.695258,1.99,1.75,0.24,13,No,0,0,0.24,1
1,CH,0,237,w-237,1,1.75,1.99,0,0,0,0,0.5,1.99,1.75,0.24,13,No,0,0,0.24,1
45,MM,1,237,w-237,4,1.79,2.09,0,0,0,0,0.9741,2.09,1.79,0.3,13,No,0,0,0.3,4
91,CH,0,237,w-237,4,1.79,2.09,0,0,0,0,0.5,2.09,1.79,0.3,13,No,0,0,0.3,4
102,CH,0,237,w-237,2,1.75,1.99,0,0,0,0,0.895142,1.99,1.75,0.24,13,No,0,0,0.24,2
141,CH,0,237,w-237,1,1.75,1.99,0,0,0,0,0.52,1.99,1.75,0.24,13,No,0,0,0.24,1
206,CH,0,237,w-237,7,1.75,1.99,0,0.4,0,0,0.766528,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
335,MM,1,237,w-237,7,1.75,1.99,0,0.4,0,0,0.09563,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
375,MM,1,237,w-237,2,1.75,1.99,0,0,0,0,0.4,1.99,1.75,0.24,13,No,0,0,0.24,2
392,MM,1,237,w-237,2,1.75,1.99,0,0,0,0,0.214189,1.99,1.75,0.24,13,No,0,0,0.24,2
393,MM,1,237,w-237,2,1.75,1.99,0,0,0,0,0.171351,1.99,1.75,0.24,13,No,0,0,0.24,2
487,CH,0,237,w-237,2,1.75,1.99,0,0,0,0,0.68,1.99,1.75,0.24,13,No,0,0,0.24,2
532,CH,0,237,w-237,7,1.75,1.99,0,0.4,0,0,0.544,1.59,1.75,-0.16,10,Yes,0.201005,0,0.24,0
572,CH,0,237,w-237,3,1.79,2.09,0,0,0,0,0.062142,2.09,1.79,0.3,13,No,0,0,0.3,3
638,CH,0,237,w-237,3,1.79,2.09,0,0,0,0,0.540992,2.09,1.79,0.3,13,No,0,0,0.3,3
643,CH,0,237,w-237,2,1.75,1.99,0,0,0,0,0.484608,1.99,1.75,0.24,13,No,0,0,0.24,2
760,MM,1,237,w-237,2,1.75,1.99,0,0,0,0,0.5648,1.99,1.75,0.24,13,No,0,0,0.24,2
